"id","number","name","fate"
"806","2582","好想你","8.31"
"807","2393","力生制药","24.97"
"808","2375","亚厦股份","4.79"
"809","2251","步步高","5.3"
"810","2165","红宝丽","4.19"
"811","2098","浔兴股份","6.08"
"812","1316","润贝航科","36.46"
"813","997","新大陆","18.9"
"814","9","中国宝安","11.47"
"815","300133","华策影视","6.86"
"816","300042","朗科科技","35.89"
"817","2975","博杰股份","39.81"
"818","2265","西仪股份","15.8"
"819","938","紫光股份","28.69"
"820","839","ST国安","2.31"
"821","600301","华锡有色","17.67"
"822","301228","实朴检测","16.49"
"823","688329","艾隆科技","28.48"
"824","688216","气派科技","27.62"
"825","688185","康希诺","78.09"
"826","688005","容百科技","50.19"
"827","603887","城地香江","8.45"
"828","600396","*ST金山","2.4"
"829","301379","天山电子","46.6"
"830","301259","艾布鲁","15.46"
"831","301161","唯万密封","22.84"
"832","301076","新瀚新材","22.9"
"833","300997","欢乐家","13.96"
